"SNo","TestCase","Description","Command","ExpectedResult","ActualResult","Status","Duration"
"1.1","Install extension","Install from .whl file","az extension add --source ...whl --yes","Extension installs successfully","Installed successfully","PASS","34.7s"
"1.2","Verify extension listed","Confirm version 1.0.0b3 in list","az extension list -o table","provisionedmachine 1.0.0b3","N                   V
------------------  -------
provisionedmachine  1.0.0b3","PASS","9.0s"
"1.3","Help text - group","No implementation details leaked","az provisionedmachine -h","Manage provisioned machine resources","Group help correct","PASS","2.2s"
"1.4","Help text - command","Shows all 4 params + examples","az provisionedmachine ssh-cert-create -h","--vault-name, --resource-id, --cert-path, --private-key-path","All params present","PASS","2.3s"
"1.5","Uninstall and reinstall","Clean cycle","remove + add + help","All succeed","Cycle succeeded","PASS","41.7s"
"2.1","Invalid resource ID - random string","Reject non-ARM","ssh-cert-create --resource-id ""invalid-string""","not a valid ARM resource ID","Rejected","PASS","2.4s"
"2.2","Invalid resource ID - missing /subscriptions","Reject incomplete ARM","ssh-cert-create --resource-id ""/resourceGroups/...""","not a valid ARM resource ID","Rejected","PASS","2.4s"
"2.3","Invalid resource ID - empty","Reject empty string","ssh-cert-create --resource-id """"","Error about empty/required","Rejected","PASS","2.2s"
"2.4","Invalid resource ID - deleted/non-existent machine","Resource doesn't exist","ssh-cert-create --resource-id "".../edgeMachines/deletedMachine123""","Resource not found or PIM error","Rejected non-existent machine","PASS","3.0s"
"2.5","Reader role on Provisioned Machine","Deactivate all, assign Reader, verify cert","Isolate Reader role, ssh-cert-create","Certificate generated with role=Provisioned Machine Reader","Admin role still active! Priority conflict. Got: C:\Users\PUSRIV~1\AppData\Local\Temp\azssh_pm_8a9fodh_\id_rsa.pem-cert.pub:
        Type: ssh-rsa-cert-v01@openssh.com user certificate
        Public key: RSA-CERT SHA256:k8FFf77Y+J7DJA6j32MVjdOT41Hl4t2ZpnpGKoaff54
        Signing CA: RSA SHA256:j","FAIL","92.2s"
"2.6","Admin role on Provisioned Machine","Deactivate all, assign Admin, verify cert","Isolate Admin role, ssh-cert-create","Certificate generated with role=Provisioned Machine Admin","Certificate generated with role=Provisioned Machine Admin","PASS","108.7s"
"2.7","Contributor role on Provisioned Machine","Deactivate all, assign Contributor, verify cert","Isolate Contributor role, ssh-cert-create","Certificate generated with role=Provisioned Machine Contributor","Admin role still active! Priority conflict. Got: C:\Users\PUSRIV~1\AppData\Local\Temp\azssh_pm_8__3mfya\id_rsa.pem-cert.pub:
        Type: ssh-rsa-cert-v01@openssh.com user certificate
        Public key: RSA-CERT SHA256:VwOzxhxfNmgMV6WKsLbUswNF+esGch2qumgambbiHsk
        Signing CA: RSA SHA256:j","FAIL","83.8s"
"2.8","No role on Provisioned Machine","User has no PM roles on resource","ssh-cert-create on resource with no PM roles","No Provisioned Machine role found","Rejected - no PM role","PASS","2.9s"
"2.9","Invalid vault name - starts with digit","Reject '1vault'","ssh-cert-create --vault-name ""1vault""","not a valid Key Vault name","Rejected","PASS","2.6s"
"2.10","Invalid vault name - special chars","Reject 'vault_name!'","ssh-cert-create --vault-name ""vault_name!""","not a valid Key Vault name","Rejected","PASS","2.5s"
"2.11","Missing --vault-name","Required param","ssh-cert-create --resource-id [RID]","required: --vault-name","Required","PASS","2.3s"
"2.12","Missing --resource-id","Required param","ssh-cert-create --vault-name test","required: --resource-id","Required","PASS","2.2s"
"3.1","Not logged in","Run after az logout","az logout && ssh-cert-create","Error: az login required","Correctly requires login","PASS","13.2s"
"3.2","Wrong tenant","Login to Microsoft tenant, test against ALCS resource","az login --tenant msft && ssh-cert-create","Auth error or resource not found","Correctly failed with wrong tenant","PASS","15.7s"
"3.3","Direct (non-PIM) role rejected","Assign direct role, verify cert is rejected without PIM, remove assignment","Direct role only (no PIM) on /subscriptions/98f24b96-fffa-4142-bec5-8472d0f30749/resourceGroups/ar-sff-rg/providers/Microsoft.AzureStackHCI/edgeMachines/aurosffeus16062026B","Direct role correctly rejected - PIM required","Should have REJECTED direct role (extension requires PIM-based JIT). But cert was generated!","FAIL","119.8s"
"3.4","No role assignment at all","Use resource where user has no roles","ssh-cert-create on unrelated resource","No role / not found","Correctly rejected","PASS","3.1s"
"4.1","Non-existent vault","Vault DNS doesn't resolve","ssh-cert-create --vault-name ""nonExistentVault123""","Unable to connect to Key Vault","Correctly failed - vault not found","PASS","7.6s"
"4.2","Vault exists but CA key missing","No deviceId-ssh-ca key in vault","ssh-cert-create with wrong vault","Key not found in vault","Correctly failed - key missing or no PIM","PASS","2.8s"
"4.3","No KV access permissions","User lacks Key Get/Sign","ssh-cert-create with no-access vault","Access denied","Correctly failed - no KV access","PASS","3.4s"
"5.1","Successful cert generation (default paths)","Happy path","ssh-cert-create --vault-name remote-ssh-poc1","JSON with privateKeyPath + certificatePath","Failed: ERROR: Your PIM activation on resource '/subscriptions/98f24b96-fffa-4142-bec5-8472d0f30749/resourceGroups/ar-sff-rg/providers/Microsoft.AzureStackHCI/edgeMachines/aurosffeus16062026B' has expired or been deactivated. Please re-activate your PIM-eligible role and retry:
  1. Go to Azure Por","FAIL","3.2s"
"5.2","Inspect generated certificate","Verify principals and extensions","ssh-keygen -L -f [cert]","username=[alias] role=Provisioned Machine Admin permit-pty","No cert from 5.1","FAIL","0.0s"
"5.3","Multiple consecutive generations","Each creates new temp dir","ssh-cert-create x3","3 different directories","Expected 3 unique dirs, got 0","FAIL","9.8s"
"5.4","Private key is RSA-4096","Confirm key strength","ssh-keygen -l -f [key]","4096 SHA256:... (RSA)","No key from 5.1","FAIL","0.0s"
"5.5","Custom output paths (both)","Both --cert-path and --private-key-path","ssh-cert-create --private-key-path ... --cert-path ...","Files at custom locations","Failed: ERROR: Your PIM activation on resource '/subscriptions/98f24b96-fffa-4142-bec5-8472d0f30749/resourceGroups/ar-sff-rg/providers/Microsoft.AzureStackHCI/edgeMachines/aurosffeus16062026B' has expired or been deactivated. Please re-activate your PIM-eligible role and retry:
  1. Go to Azure Por","FAIL","3.3s"
"5.6","Custom --private-key-path only","Only key path customized","ssh-cert-create --private-key-path ...","Key at custom, cert in temp","Failed: ERROR: Your PIM activation on resource '/subscriptions/98f24b96-fffa-4142-bec5-8472d0f30749/resourceGroups/ar-sff-rg/providers/Microsoft.AzureStackHCI/edgeMachines/aurosffeus16062026B' has expired or been deactivated. Please re-activate your PIM-eligible role and retry:
  1. Go to Azure Por","FAIL","3.4s"
"5.7","Custom --cert-path only","Only cert path customized","ssh-cert-create --cert-path ...","Cert at custom, key in temp","Failed: ERROR: Your PIM activation on resource '/subscriptions/98f24b96-fffa-4142-bec5-8472d0f30749/resourceGroups/ar-sff-rg/providers/Microsoft.AzureStackHCI/edgeMachines/aurosffeus16062026B' has expired or been deactivated. Please re-activate your PIM-eligible role and retry:
  1. Go to Azure Por","FAIL","3.1s"
"5.8","Custom path - non-existent directory","Dir does not exist","ssh-cert-create --private-key-path C:\nonexistent\folder\key","Directory does not exist","Correctly rejected non-existent dir","PASS","2.6s"
"6.1","SSH test","No certificate from Phase 5","","","SKIPPED - No certificate from Phase 5","SKIP","0s"
"6.2","SSH test","No certificate from Phase 5","","","SKIPPED - No certificate from Phase 5","SKIP","0s"
"6.3","SSH test","No certificate from Phase 5","","","SKIPPED - No certificate from Phase 5","SKIP","0s"
"6.4","SSH test","No certificate from Phase 5","","","SKIPPED - No certificate from Phase 5","SKIP","0s"
